"","seed","Train_RMSE","Test_RMSE","Train_p","Test_p","Train_coef","Test_coef","n_features_input","Important_features","important_features_value"
"rho27",16,0.0675534544943266,0.200749651037264,2.39202344590421e-18,0.608149066368405,0.974260825177775,0.215572727144387,24,"SRPK1;MAP3K1;MAP2K1;MAPK9;MTOR;MAP3K3;CDKL5;RIPK3","22.7416376698598;47.1678691125959;20.1225412309505;23.8239662009908;37.1247564635911;100;27.2666532055774;24.8836258820369"
"rho28",371,0.0852641677758765,0.130764332929459,1.24262006665387e-14,0.132291666666667,0.949760518147585,0.595238095238095,31,"MAP3K1;MAP2K1;MAP3K3;MKNK2;CDKL5;FYN;RIPK3","88.5271799489507;47.5216054384974;100;22.4484984775429;23.0774334098078;27.9857630354213;33.5886833708562"
"rho29",209,0.0766318022811232,0.170332671609751,1.69364235407434e-14,0.00724206349206349,0.948521500397923,0.880952380952381,26,"SRPK1;TNK2;MAP3K1;CDK9;MAST1;MAP3K3;CAMK2A;CDKL5;PRKACB;RIPK3","33.1568606575072;30.1229191150243;100;24.7152048268405;50.1224495448786;91.6931471930245;27.9770481590994;76.4407462459664;40.8625715983393;51.6770326027868"
"rho30",46,0.0859224315631729,0.111296408566487,1.44509928604883e-15,0.0107142857142857,0.957569157149229,0.857142857142857,36,"MAP3K1;MAP2K1;MTOR;MAP3K3;MKNK2;CDKL5;FYN;RIPK3","91.9026523772908;34.9330493118402;25.7216418214571;100;27.1961355768243;22.7678193521257;28.1579378419707;33.8446385647398"
"rho31",203,0.0620870665585371,0.256274952640016,1.93736247071369e-14,0.132291666666667,0.947973855189841,0.595238095238095,17,"MAP3K1;CDK9;MAP2K1;PIK3CB;MTOR;STK3;MAP3K3;HIPK3","91.2238588967006;38.2460328832353;100;36.1858409751197;73.8989712282413;39.3609228036285;48.5866088241337;28.4926847275095"
"rho32",64,0.0781210295234614,0.215828334348953,1.25606264634286e-16,0.0961805555555556,0.964950856640381,0.642857142857143,19,"SRPK1;TNK2;MAP3K1;CDK9;MAP2K1;PIK3CB;MTOR;STK3;MAP3K3;CDKL5;HIPK3","35.4026982707788;29.0222982993592;100;23.1757836172136;81.3316255211769;29.3381624984984;72.5903084342384;28.5409553765512;65.600032324291;39.3397856796035;35.5873231119592"
"rho33",95,0.0743247766918915,0.216347359997173,2.65378583563291e-15,0.703323412698413,0.95549796459739,0.166666666666667,28,"MAP3K1;MAP2K1;STK3;MAP3K3;CDKL5;BMP2K","63.4463304233456;100;32.5489622253849;78.5982839299657;29.8283865218653;76.8251869705648"
"rho34",50,0.0849989749822712,0.184408305301874,8.62067242173936e-13,0.326835317460317,0.929774205716113,0.404761904761905,28,"MAP3K1;MAP2K1;MAP3K3;BMP2K","63.5024334147086;67.0372462808837;26.8040629089788;100"
"rho35",201,0.0763474644764131,0.197796682175289,1.93736247071369e-14,0.75203373015873,0.947973855189841,0.142857142857143,38,"MAP3K1;STK3;MAP3K3;CDKL5;FYN","100;24.0163394422127;63.8912212210854;22.7983268809686;47.4691017821527"
"rho36",116,0.0862783316588949,0.156280311789259,3.52458304966315e-19,0.107721236692871,0.977820519030307,0.610789393575762,31,"MAPK14;SRPK1;TNK2;MAP3K1;CDK9;YES1;MINK1;PIK3CA;MAP2K1;ABL2;CAMK2D;MAST1;MTOR;STK3;MAP3K3;CAMK2G;CAMK2A;MKNK2;CDKL5;RPS6KB1;RIPK3","22.2761999061984;33.5775936740943;32.2739570763922;100;21.6311290371554;31.0219393575646;20.4616947911306;31.3017947601121;67.6678050804906;28.0935978331884;33.7168027985489;41.3837246207066;71.0400248410378;60.4641019866042;72.543134604674;29.568629832926;37.3048495461496;34.9124183161424;43.236634927986;24.3255476581482;53.2504328724379"
"rho37",318,0.074991308759557,0.197791238830729,4.48789855284824e-14,0.359871031746032,0.944414161337309,0.380952380952381,27,"SRPK1;CSNK1E;MAP3K1;KIT;PAK1;MAP3K3;CAMK2A;CDKL5;RIPK3","27.3510110611741;47.7492070393777;100;43.7876828593436;21.1122570870882;98.5146194761481;36.3604097094506;73.6411897373588;52.0636047200275"
